STATION,R_TRAIN,R_DRAIN,R_RAIN
B,0,5,0.12
B,5,5,0.12
B,10,6,0.12
B,16,5,0.12
B,21,5,0.12
B,26,5,0.12
B,31,6,0.12
B,37,5,0.12
B,42,6,0.12
B,48,5,0.12
B,53,5,0.12
B,58,6,0.12
B,64,5,0.12
B,69,5,0.12
B,74,5,0.12
B,79,6,0.12
B,85,5,0.12
B,90,5,0.12
B,95,5,0.12
B,100,5,0.12
B,105,6,0.12
B,111,10,0.12
B,121,5,0.12
B,126,6,0.12
B,132,5,0.12
B,137,5,0.12
B,142,5,0.12
B,147,5,0.12
B,152,6,0.12
B,158,5,0.12
B,163,5,0.12
B,168,6,0.12
B,174,5,0.12
B,179,6,0.12
B,185,6,0.12
B,191,5,0.12
B,196,6,0.12
B,202,6,0.12
B,208,5,0.12
B,213,6,0.12
B,219,6,0.12
B,225,6,0.12
B,231,5,0.12
B,236,6,0.12
B,242,6,0.12
B,248,6,0.12
B,254,6,0.12
B,260,6,0.12
B,266,6,0.12
B,272,6,0.12
B,278,5,0.12
B,283,8,0.14
B,291,5,0.14
B,296,5,0.14
B,301,6,0.14
B,307,5,0.14
B,312,5,0.14
B,317,4,0.14
B,321,4,0.14
B,325,4,0.14
B,329,4,0.14
B,333,4,0.14
B,337,4,0.14
B,341,4,0.14
B,345,4,0.14
B,349,3,0.14
B,352,4,0.14
B,356,4,0.14
B,360,4,0.14
B,364,4,0.14
B,368,4,0.14
B,372,4,0.14
B,376,4,0.14
B,380,4,0.14
B,384,4,0.14
B,388,3,0.14
B,391,4,0.14
B,395,4,0.14
B,399,4,0.14
B,403,4,0.14
B,407,4,0.14
B,411,4,0.14
B,415,4,0.14
B,419,4,0.14
B,423,4,0.14
B,427,4,0.14
B,431,4,0.14
B,435,4,0.14
B,439,4,0.14
B,443,4,0.14
B,447,4,0.14
B,451,5,0.14
B,456,5,0.14
B,461,4,0.14
B,465,6,0.14
B,471,5,0.14
B,476,5,0.14
B,481,5,0.14
B,486,6,0.14
B,492,5,0.14
B,497,6,0.14
B,503,6,0.14
B,509,5,0.14
B,514,6,0.14
B,520,5,0.14
B,525,6,0.14
B,531,5,0.14
B,536,5,0.14
B,541,5,0.14
B,546,5,0.14
B,551,5,0.14
B,556,5,0.14
B,561,6,0.14
B,567,5,0.14
B,572,6,0.14
B,578,5,0.14
B,583,6,0.14
B,589,5,0.14
B,594,5,0.14
B,599,5,0.14
B,604,6,0.14
B,610,5,0.14
B,615,5,0.14
B,620,6,0.14
B,626,5,0.14
B,631,6,0.14
B,637,5,0.14
B,642,6,0.14
B,648,6,0.14
B,654,7,0.14
B,661,6,0.14
B,667,6,0.14
B,673,6,0.14
B,679,6,0.14
B,685,5,0.14
B,690,6,0.14
B,696,6,0.14
B,702,6,0.16
B,708,7,0.16
B,715,10,0.16
B,725,7,0.16
B,732,6,0.16
B,738,7,0.16
B,745,6,0.16
B,751,7,0.16
B,758,6,0.2
B,764,8,0.2
B,772,7,0.28
B,779,6,0.32
B,785,6,0.44
B,791,6,0.52
B,797,6,0.64
B,803,6,0.68
B,809,5,0.72
B,814,6,0.72
B,820,5,0.72
B,825,6,0.72
B,831,6,0.72
B,837,5,0.76
B,842,6,0.8
B,848,6,0.8
B,854,5,0.88
B,859,6,0.92
B,865,6,0.96
B,871,6,1
B,877,6,1.04
B,883,5,1.04
B,888,6,1.08
B,894,6,1.08
B,900,6,1.12
B,906,6,1.16
B,912,7,1.16
B,919,6,1.16
B,925,6,1.16
B,931,6,1.16
B,937,7,1.16
B,944,6,1.16
B,950,6,1.16
B,956,6,1.16
B,962,7,1.16
B,969,5,1.16
B,974,7,1.16
B,981,6,1.16
B,987,6,1.16
B,993,6,1.16
B,999,7,1.16
B,1006,6,1.16
B,1012,6,1.16
B,1018,7,1.16
B,1025,5,1.16
B,1030,6,1.16
B,1036,7,1.16
B,1043,6,1.16
B,1049,6,1.16
B,1055,6,1.16
B,1061,7,1.16
B,1068,6,1.28
B,1074,6,1.36
B,1080,7,1.4
B,1087,6,1.44
B,1093,6,1.44
B,1099,6,1.44
B,1105,7,1.44
B,1112,6,1.44
B,1118,6,1.44
B,1124,6,1.44
B,1130,6,1.44
B,1136,6,1.44
B,1142,6,1.44
B,1148,6,1.44
B,1154,6,1.44
B,1160,7,1.44
B,1167,6,1.44
B,1173,6,1.44
B,1179,6,1.44
B,1185,7,1.44
B,1192,6,1.44
B,1198,6,1.44
B,1204,6,1.44
B,1210,7,1.44
B,1217,6,1.44
B,1223,6,1.44
B,1229,6,1.44
B,1235,6,1.44
B,1241,6,1.44
B,1247,9,1.44
B,1256,6,1.44
B,1262,6,1.44
B,1268,6,1.44
B,1274,6,1.44
B,1280,6,1.44
B,1286,6,1.44
B,1292,6,1.44
B,1298,7,1.44
B,1305,6,1.44
B,1311,6,1.44
B,1317,6,1.44
B,1323,7,1.44
B,1330,6,1.44
B,1336,6,1.44
B,1342,6,1.44
B,1348,6,1.44
B,1354,6,1.44
B,1360,6,1.44
B,1366,6,1.44
B,1372,6,1.48
B,1378,6,1.48
B,1384,5,1.48
B,1389,5,1.48
B,1394,5,1.48
B,1399,5,1.48
B,1404,5,1.48
B,1409,5,1.48
B,1414,5,1.48
B,1419,5,1.48
B,1424,5,1.48
B,1429,5,1.48
B,1434,5,1.48
B,1439,5,1.48
B,1444,5,1.48
B,1449,4,1.48
B,1453,5,1.48
B,1458,5,1.48
B,1463,4,1.48
B,1467,5,1.48
B,1472,5,1.48
B,1477,5,1.48
B,1482,4,1.48
B,1486,5,1.48
B,1491,5,1.48
B,1496,5,1.48
B,1501,4,1.48
B,1505,5,1.48
B,1510,5,1.48
B,1515,4,1.48
B,1519,5,1.48
B,1524,5,1.48
B,1529,5,1.48
B,1534,4,1.48
B,1538,5,1.48
B,1543,5,1.48
B,1548,4,1.48
B,1552,5,1.48
B,1557,5,1.48
B,1562,5,1.48
B,1567,4,1.48
